"id","Taxon_group","Taxon","Common_name","Synonym"
359741,89,"Achillea millefolium","Yarrow",""
357722,89,"Aethusa cynapium","Fool's Parsley",""
357731,89,"Agrimonia eupatoria","Agrimony",""
357745,89,"Agrostis capillaris","Common Bent",""
359754,89,"Ajuga reptans","Bugle",""
359764,89,"Alchemilla alpina","Alpine Lady's-mantle",""
359770,89,"Alisma plantago-aquatica","",""
359777,89,"Allium ursinum","Ramsons",""
359784,89,"Alnus glutinosa","Alder",""
357753,89,"Alopecurus geniculatus","Marsh Foxtail",""
357759,89,"Alopecurus myosuroides","Black-grass","Black Twitch"
357771,89,"Ammophila arenaria","Marram","Marram Grass"
359794,89,"Anagallis arvensis","Scarlet Pimpernel",""
359809,89,"Anagallis tenella","Bog Pimpernel",""
359816,89,"Anemone nemorosa","Wood Anemone",""
359831,89,"Angelica sylvestris","Wild Angelica",""
359839,89,"Antennaria dioica","Mountain Everlasting","Common Catsfoot"
357786,89,"Anthemis cotula","Stinking Chamomile",""
357796,89,"Anthoxanthum odoratum","Sweet Vernal-grass","Sweet Vernal Grass"
359855,89,"Anthriscus sylvestris","Cow Parsley",""
359867,89,"Anthyllis vulneraria","Kidney Vetch",""
359886,89,"Apium graveolens","Wild Celery",""
357815,89,"Apium nodiflorum","Fool's-water-cress","Fool's Water-Cress"
357822,89,"Arabis hirsuta","Hairy Rock-cress",""
368681,89,"Arctium minus/nemorosum","",""
357837,89,"Arctostaphylos uva-ursi","Bearberry",""
359901,89,"Armeria maritima","",""
359903,89,"Arum maculatum","Lords-and-Ladies","Wild Arum"
357843,87,"Asplenium ruta-muraria","Wall-rue","Wall-Rue"
359920,87,"Asplenium trichomanes","Maidenhair Spleenwort",""
359926,89,"Aster tripolium","Sea Aster",""
364651,89,"Atriplex","Orache",""
357856,89,"Atriplex portulacoides","Sea-purslane","Sea Purslane"
357867,87,"Azolla filiculoides","Water Fern",""
359935,89,"Bellis perennis","Daisy",""
357875,89,"Berula erecta","Lesser Water-parsnip",""
359944,89,"Beta vulgaris","Beet",""
368684,89,"Betula pubescens/pendula","",""
357887,89,"Bidens tripartita","Trifid Bur-marigold",""
359949,89,"Blackstonia perfoliata","Yellow-wort","Yellow-Wort"
359957,87,"Blechnum spicant","Hard-fern","Hard Fern"
368922,89,"Brachypodium pinnatum s.l.","",""
359972,89,"Briza media","Quaking-grass","Quaking-Grass"
357896,89,"Bromopsis erecta","Upright Brome",""
357906,89,"Bromus hordeaceus","Soft-brome","Soft-Brome"
359985,89,"Buddleja davidii","Butterfly-bush","Buddleia"
357914,89,"Butomus umbellatus","Flowering-rush","Flowering Rush"
359993,89,"Calluna vulgaris","Heather","Ling"
360012,89,"Caltha palustris","Marsh-marigold","Marsh Marigold"
360042,89,"Calystegia sepium s.l.","",""
360044,89,"Campanula glomerata","Clustered Bellflower",""
357920,89,"Campanula latifolia","Giant Bellflower",""
360050,89,"Campanula rotundifolia","Harebell","Harebell / Bluebell"
357928,89,"Campanula trachelium","Nettle-leaved Bellflower",""
360069,89,"Capsella bursa-pastoris","Shepherd's-purse","Shepherd's Purse"
360086,89,"Cardamine pratensis","Cuckooflower","Lady's Smock"
357937,89,"Carduus nutans","Musk Thistle",""
357944,89,"Carex arenaria","Sand Sedge",""
357952,89,"Carex bigelowii","Stiff Sedge",""
368739,89,"Carex echinata","Star Sedge",""
357962,89,"Carex flacca","Glaucous Sedge",""
357970,89,"Carex limosa","Bog-sedge","Mud Sedge"
357977,89,"Carex nigra","Common Sedge",""
357989,89,"Carex otrubae","False Fox-sedge","False Fox-Sedge"
358000,89,"Carex panicea","Carnation Sedge",""
360122,89,"Carex paniculata","Greater Tussock-sedge","Tussock Sedge"
