"id","Taxon_group","Taxon","Common_name","Synonym"
362108,89,"Achillea millefolium","Yarrow",""
362121,89,"Ajuga reptans","Bugle",""
362131,89,"Alchemilla alpina","Alpine Lady's-mantle",""
362137,89,"Alisma plantago-aquatica","",""
362144,89,"Allium ursinum","Ramsons",""
362151,89,"Alnus glutinosa","Alder",""
362161,89,"Anagallis arvensis","Scarlet Pimpernel",""
362176,89,"Anagallis tenella","Bog Pimpernel",""
362183,89,"Anemone nemorosa","Wood Anemone",""
362198,89,"Angelica sylvestris","Wild Angelica",""
362206,89,"Antennaria dioica","Mountain Everlasting","Common Catsfoot"
362222,89,"Anthriscus sylvestris","Cow Parsley",""
362230,89,"Anthyllis vulneraria","Kidney Vetch",""
362240,89,"Apium graveolens","Wild Celery",""
368697,89,"Arctium minus/nemorosum","",""
362255,89,"Armeria maritima","Thrift","Sea Pink"
362271,89,"Arum maculatum","Lords-and-Ladies","Lords-and-ladies"
362288,87,"Asplenium trichomanes","Maidenhair Spleenwort",""
362294,89,"Aster tripolium","Sea Aster",""
368912,89,"Atriplex","Orache",""
362303,89,"Bellis perennis","Daisy",""
362312,89,"Beta vulgaris","Beet",""
368700,89,"Betula pubescens/pendula","",""
362317,89,"Blackstonia perfoliata","Yellow-wort","Yellow-Wort"
362325,87,"Blechnum spicant","Hard-fern","Hard Fern"
362340,89,"Briza media","Quaking-grass","Quaking-Grass"
362353,89,"Buddleja davidii","Butterfly-bush","Buddleia"
362361,89,"Calluna vulgaris","Heather","Ling"
362380,89,"Caltha palustris","Marsh-marigold","Marsh Marigold"
362410,89,"Calystegia sepium","Hedge Bindweed","Great Bindweed agg."
362425,89,"Campanula glomerata","Clustered Bellflower",""
362431,89,"Campanula rotundifolia","Harebell","Harebell / Bluebell"
362450,89,"Capsella bursa-pastoris","Shepherd's-purse","Shepherd's Purse"
362467,89,"Cardamine pratensis","Cuckooflower","Milk-Maids"
362503,89,"Carex paniculata","Greater Tussock-sedge","Tussock Sedge"
362510,89,"Carex pendula","Pendulous Sedge","Pendulus Sedge"
368789,89,"Carpobrotus edulis","Hottentot-fig","Kaffir Fig"
362518,89,"Centaurea scabiosa","Greater Knapweed",""
362533,89,"Centranthus ruber","Red Valerian",""
362538,89,"Cerastium fontanum","Common Mouse-ear","Common Mouse-Ear"
362554,89,"Ceratocapnos claviculata","Climbing Corydalis",""
362563,87,"Ceterach officinarum","Rustyback","Rusty-Back Fern"
362586,89,"Chenopodium album","",""
362591,89,"Chrysosplenium oppositifolium","Opposite-leaved Golden-saxifrage",""
362599,89,"Circaea lutetiana","Enchanter's-nightshade","Enchanter's Nightshade"
362615,89,"Cirsium acaule","Dwarf Thistle","Stemless Thistle"
362625,89,"Cirsium arvense","Creeping Thistle",""
362639,89,"Cirsium palustre","Marsh Thistle",""
362648,89,"Cirsium vulgare","Spear Thistle",""
362667,89,"Clematis vitalba","Traveller's-joy","Traveller's-Joy"
368900,89,"Cochlearia","Scurveygrass","Scurvygrass"
362683,89,"Colchicum autumnale","Meadow Saffron","Naked Ladies"
362690,89,"Corylus avellana","Hazel",""
362699,89,"Crambe maritima","Sea-kale","Sea-Kale"
362709,89,"Crataegus monogyna","Hawthorn",""
362730,89,"Crithmum maritimum","Rock Samphire",""
362738,89,"Cruciata laevipes","Crosswort","Maywort"
362750,87,"Cryptogramma crispa","Parsley Fern",""
362769,89,"Cuscuta epithymum","Dodder","Lesser Dodder"
362780,89,"Cynosurus cristatus","Crested Dog's-tail","Crested Dog's-Tail"
362787,89,"Deschampsia cespitosa","Tufted Hair-grass","Tufted Hair-Grass"
362798,89,"Digitalis purpurea","Foxglove",""
362818,89,"Dipsacus fullonum s.l.","",""
362820,89,"Drosera rotundifolia","Round-leaved Sundew","Round-Leaved Sundew"
368898,89,"Elodea canadensis/nutallii","",""
362835,89,"Empetrum nigrum","Crowberry agg.",""
362839,89,"Epilobium hirsutum","Great Willowherb",""
362846,89,"Erica cinerea","Bell Heather","Bell-Heather"
362857,89,"Erica tetralix","Cross-leaved Heath",""
362863,89,"Euphorbia amygdaloides","Wood Spurge",""
362870,89,"Euphorbia helioscopia","Sun Spurge",""
362880,89,"Filipendula ulmaria","Meadowsweet",""
362899,89,"Filipendula vulgaris","Dropwort",""
362907,89,"Fragaria vesca","Wild Strawberry",""
368909,89,"Fumaria","Fumitory",""
362923,89,"Galium aparine","Cleavers","Goosegrass"
362944,89,"Galium mollugo","Hedge Bedstraw",""
362951,89,"Galium odoratum","Woodruff","Sweet Woodruff"
362964,89,"Galium saxatile","Heath Bedstraw",""
362974,89,"Galium verum","Lady's Bedstraw",""
362986,89,"Geranium robertianum","Herb-Robert","Herb Robert"
363004,89,"Geum urbanum","Herb Bennet","Wood Avens"
363020,89,"Glaucium flavum","Yellow Horned-poppy","Yellow Horned Poppy"
363031,89,"Glechoma hederacea","Ground-ivy","Ground-Ivy"
363039,89,"Hedera helix","Ivy",""
363044,89,"Helianthemum nummularium","Common Rock-rose","Common Rock-Rose"
363063,89,"Heracleum sphondylium","Hogweed","Keck"
363081,89,"Hippocrepis comosa","Horseshoe Vetch",""
363091,89,"Hippuris vulgaris","Mare's-tail","Mare's-Tail"
363098,89,"Hyacinthoides non-scripta","Bluebell","Wild Hyacinth"
363109,89,"Hydrocharis morsus-ranae","Frogbit",""
363112,89,"Hydrocotyle vulgaris","Marsh Pennywort",""
363129,89,"Ilex aquifolium","Holly",""
363137,89,"Impatiens glandulifera","Indian Balsam","Policeman's Helmet"
363147,89,"Iris pseudacorus","Yellow Iris","Flag Iris"
368919,89,"Juncus inflexus/effusus/conglomeratus","",""
363166,81,"Juniperus communis","Juniper",""
363181,89,"Kickxia elatine","Sharp-leaved Fluellen","Sharp-Leaved Fluellen"
363190,89,"Lamium galeobdolon","Yellow Archangel","Yellow Dead-Nettle"
363206,89,"Lathyrus pratensis","Meadow Vetchling",""
363216,89,"Lemna trisulca","Ivy-leaved Duckweed",""
363226,89,"Leucanthemum vulgare","Oxeye Daisy","Ox-eye Daisy"
364619,89,"Limonium","Rock sea-lavander","Sea-Lavender"
363235,89,"Linum catharticum","Fairy Flax","Purging Flax"
363241,89,"Littorella uniflora","Shoreweed",""
363249,89,"Lonicera periclymenum","Honeysuckle",""
363270,89,"Lotus corniculatus","Common Bird's-foot-trefoil",""
363291,89,"Lotus pedunculatus","Greater Bird's-foot-trefoil","Large Bird's-Foot-Trefoil"
363304,89,"Lycopus europaeus","Gypsywort","Gipsy wort"
363315,89,"Lysichiton americanus","American Skunk-cabbage","Skunk Cabbage"
363321,89,"Lysimachia nemorum","Yellow Pimpernel",""
363332,89,"Lysimachia vulgaris","Yellow Loosestrife",""
363338,89,"Lythrum salicaria","Purple-loosestrife","Purple Loosestrife"
363352,89,"Melica uniflora","Wood Melick",""
363359,89,"Mentha aquatica","Water Mint","Mintys y dwr"
363365,89,"Menyanthes trifoliata","Bogbean",""
363376,89,"Mercurialis perennis","Dog's Mercury",""
363389,89,"Moehringia trinervia","Three-nerved Sandwort","Three-Nerved Sandwort"
363399,89,"Narthecium ossifragum","Bog Asphodel","Asphodel"
363411,89,"Nuphar lutea","Yellow Water-lily","Yellow water-lilly"
363428,89,"Nymphaea alba","White Water-lily","Waterlily"
363455,89,"Orchis mascula","Early-purple Orchid","Early-Purple Orchid"
363467,89,"Origanum vulgare","Wild Marjoram",""
363477,87,"Osmunda regalis","Royal Fern",""
363494,89,"Oxalis acetosella","Wood-sorrel","Wood-Sorrel"
363515,89,"Oxyria digyna","Mountain Sorrel",""
363521,89,"Persicaria amphibia","Amphibious Bistort",""
363532,89,"Persicaria bistorta","Common Bistort","Bistort"
363544,87,"Phyllitis scolopendrium","Hart's-tongue","Hartstongue Fern"
363568,89,"Pilosella officinarum","Mouse-ear-hawkweed","Mouse-Ear-Hawkweed"
363607,89,"Pinguicula vulgaris","Common Butterwort",""
363620,89,"Plantago coronopus","Buck's-horn Plantain","Buck's-Horn Plantain"
363638,89,"Plantago lanceolata","Ribwort Plantain",""
363660,89,"Plantago maritima","Sea Plantain",""
363674,89,"Plantago media","Hoary Plantain",""
368899,89,"Polygala serpyllifolia/vulgaris","",""
363682,89,"Potamogeton crispus","Curled Pondweed","Curly Pondweed"
363690,89,"Potamogeton polygonifolius","Bog Pondweed",""
363697,89,"Potentilla anserina","",""
363699,89,"Potentilla erecta","Tormentil",""
363715,89,"Potentilla palustris","Marsh Cinquefoil",""
363723,89,"Potentilla reptans","Creeping Cinquefoil",""
363738,89,"Potentilla sterilis","Barren Strawberry",""
363747,89,"Primula veris","Cowslip",""
363759,89,"Primula vulgaris","Primrose",""
363778,89,"Prunella vulgaris","Selfheal",""
363788,89,"Prunus spinosa","Blackthorn","Sloe Berry"
363806,87,"Pteridium aquilinum","Bracken","Brake"
363832,89,"Ranunculus acris","Meadow Buttercup",""
363845,89,"Ranunculus bulbosus","Bulbous Buttercup",""
363856,89,"Ranunculus repens","Creeping Buttercup",""
363864,89,"Ranunculus sceleratus","Celery-leaved Buttercup","Celery-Leaved Buttercup"
